X6_value,predicted_profit,normalized_profit,variable,X8_value
0.0,-1691.649658203125,0.0,X6,
141.95522448979594,-1384.1302132417754,0.31460656870978726,X6,
283.9104489795919,-1292.7191759727252,0.40812427384558075,X6,
425.86567346938784,-1233.6078851375003,0.4685978493751339,X6,
567.8208979591838,-1189.1533118741518,0.5140769271602726,X6,
709.7761224489797,-1153.2372212163714,0.5508207436195346,X6,
851.7313469387757,-1122.9625249597948,0.5817931535405062,X6,
993.6865714285716,-1096.7143205428001,0.6086462766900412,X6,
1135.6417959183675,-1073.4950232716037,0.6324006881981062,X6,
1277.5970204081634,-1052.6428783746358,0.6537333937026277,X6,
1419.5522448979593,-1033.6952310371216,0.6731177104073085,X6,
1561.5074693877552,-1016.315282638409,0.6908981988273476,X6,
1703.4626938775514,-1000.2498547681032,0.7073338721479949,X6,
1845.4179183673473,-985.3035874176512,0.7226245926640124,X6,
1987.3731428571432,-971.3224266458095,0.7369279646591128,X6,
2129.328367346939,-958.1826444514794,0.7503705675822279,X6,
2271.283591836735,-945.7832987876924,0.7630556698007913,X6,
2413.238816326531,-934.0409121444934,0.7750686726557645,X6,
2555.194040816327,-922.8856261552451,0.7864810444766582,X6,
2697.1492653061227,-912.2583650255224,0.797353222524538,X6,
2839.1044897959187,-902.1087048972427,0.8077367927307406,X6,
2981.0597142857146,-892.3932475667436,0.8176761534582511,X6,
3123.0149387755105,-883.0743612507466,0.8272098037561725,X6,
3264.9701632653064,-874.1191929232438,0.8363713537846214,X6,
3406.9253877551027,-865.4988845917825,0.8451903266002178,X6,
3548.8806122448987,-857.1879447993508,0.85369280113863,X6,
3690.8358367346946,-849.1637397289246,0.8619019328380833,X6,
3832.7910612244905,-841.4060774989857,0.8698383789242075,X6,
3974.7462857142864,-833.8968658191474,0.8775206486441152,X6,
4116.701510204082,-826.6198279426635,0.8849653938600786,X6,
4258.656734693878,-819.5602653511899,0.8921876518339594,X6,
4400.611959183674,-812.7048582050933,0.8992010493757411,X6,
4542.56718367347,-806.0414965429472,0.906017975534227,X6,
4684.522408163266,-799.5591366930563,0.9126497284946702,X6,
4826.477632653062,-793.2476784923276,0.9191066411895278,X6,
4968.432857142858,-787.0978597826014,0.9253981892335787,X6,
5110.388081632654,-781.1011653358383,0.9315330840976557,X6,
5252.34330612245,-775.2497478943254,0.9375193538881541,X6,
5394.2985306122455,-769.5363594348406,0.9433644136669611,X6,
5536.253755102041,-763.9542911022961,0.9490751269021066,X6,
5678.208979591837,-758.4973205280419,0.9546578593635683,X6,
5820.164204081633,-753.1596654654023,0.9601185265562543,X6,
5962.119428571429,-747.9359428512815,0.9654626356018687,X6,
6104.074653061225,-742.8211325463599,0.9706953223343617,X6,
6246.029877551021,-737.8105451241773,0.9758213842531824,X6,
6387.985102040817,-732.8997931763641,0.9808453098793508,X6,
6529.940326530613,-728.0847656815312,0.9857713049772643,X6,
6671.895551020409,-723.3616050520266,0.9906033160369239,X6,
6813.8507755102055,-718.7266865284233,0.9953450513543232,X6,
6955.8060000000005,-714.1765996382712,1.0,X6,
,-129.39990852640653,1.0,X8,0.01
,-476.56651929565896,0.7309405373392504,X8,0.01653061224489796
,-662.9009990482539,0.5865284497646008,X8,0.023061224489795917
,-783.4851970298757,0.4930738417813549,X8,0.02959183673469388
,-869.6684844485877,0.42628046855967716,X8,0.03612244897959184
,-935.2081341971741,0.3754862320250784,X8,0.0426530612244898
,-987.2161879732191,0.33517919048093986,X8,0.049183673469387755
,-1029.788064835161,0.30218533117069946,X8,0.055714285714285716
,-1065.4705347149277,0.2745308682285832,X8,0.06224489795918368
,-1095.9414920295533,0.2509154076758948,X8,0.06877551020408164
,-1122.3573435360113,0.2304427164908034,X8,0.07530612244897959
,-1145.5444508575856,0.2124723517060789,X8,0.08183673469387755
,-1166.1111355511366,0.19653285475935814,X8,0.0883673469387755
,-1184.5164761889396,0.18226843269664195,X8,0.09489795918367347
,-1201.1143084267728,0.16940485744281975,X8,0.10142857142857142
,-1216.1823427533639,0.1577268990980267,X8,0.10795918367346939
,-1229.942004971813,0.14706294925939997,X8,0.11448979591836735
,-1242.5723018147628,0.13727427495607378,X8,0.1210204081632653
,-1254.2197279786942,0.1282473405452324,X8,0.12755102040816327
,-1265.0054844385902,0.11988821340723071,X8,0.13408163265306122
,-1275.030829944112,0.11211841645375324,X8,0.1406122448979592
,-1284.38111070084,0.10487180506287685,X8,0.14714285714285716
,-1293.1288375299414,0.09809218223300335,X8,0.1536734693877551
,-1301.3360656501602,0.09173145421521597,X8,0.16020408163265307
